symbol,name,price,peratio,marketcap,annrevenue,netincome,sales12,sales13,sales14,sales15,sales16,spt12,spt13,spt14,spt15,spt16,in12,in13,in14,in15,in16,ipt12,ipt13,ipt14,ipt15,ipt16,eps12,eps13,eps14,eps15,eps16,ept12,ept13,ept14,ept15,ept16
ARRS,ARRIS International plc,26.62,310.73,5.26B,6829.12,18.1,1.35B,3.62B,5.32B,4.8B,6.83B,-,167.49,47.01,-9.86,42.32,53.46M,(48.76M),327.21M,92.18M,18.1M,-,-191.21,771.06,-71.83,-80.36,0.47,-0.37,2.27,0.63,0.09,-,-178.72,713.51,-72.25,-85.71
NTWK,NetSol Technologies Inc.,5.15,259.71,57.16M,64.55,3.4,39.78M,50.8M,36.38M,51.05M,64.55M,-,27.71,-28.37,40.3,26.45,2.45M,7.86M,(12.51M),(5.55M),3.4M,-,221.4,-259.16,55.66,161.32,0.39,0.96,-1.38,-0.57,0.33,-,146.15,-243.75,58.7,157.89
WEB,Web.com Group Inc,19.05,245.14,954.29M,710.5,3.99,407.65M,492.32M,543.94M,543.46M,710.51M,-,20.77,10.49,-0.09,30.74,(122.22M),(65.66M),(12.46M),89.96M,3.99M,-,46.27,81.03,822.11,-95.56,-2.61,-1.34,-0.24,1.79,0.08,-,48.66,82.09,845.83,-95.53
MTSI,MACOM Technology Solutions Holdings Inc,44.97,234.62,2.42B,544.34,-3.59,302.2M,318.72M,339.19M,420.61M,544.34M,-,5.46,6.42,24,29.42,(3.63M),27.31M,(24.81M),(5.54M),(3.59M),-,851.95,-190.86,77.67,35.26,-0.15,0.59,-0.33,-0.29,0.02,-,493.33,-155.93,12.73,107.33
LITE,Lumentum Holdings Inc,53.5,233.8,3.26B,903,-3.2,703.7M,744.3M,817.9M,837.1M,903M,-,5.77,9.89,2.35,7.87,-700000,-100000,10.7M,(3.4M),9.3M,-,85.71,10800,-131.78,373.53,-,-,-,-0.06,-0.05,-,-,-,-,16.67
NSYS,Nortech Systems Incorporated,3.65,231.01,10.35M,116.62,0.04,106.94M,111.06M,112.04M,115.19M,116.62M,-,3.85,0.89,2.81,1.24,629438,787376,880017,-571422,43774,-,25.09,11.77,-164.93,107.66,0.23,0.29,0.32,-0.21,0.02,-,26.09,10.34,-165.63,109.52
NXPI,NXP Semiconductors NV,102.99,222.89,35.62B,9498,200,4.36B,4.82B,5.65B,6.1B,9.5B,-,10.49,17.28,8.04,55.68,(116M),348M,539M,1.53B,200M,-,400,54.89,183.12,-86.89,-0.46,1.4,2.27,6.36,0.59,-,404.35,62.14,180.18,-90.72
RMBS,Rambus Inc.,12.94,216.03,1.44B,336.6,6.82,234.05M,271.5M,296.56M,296.28M,336.6M,-,16,9.23,-0.09,13.61,(134.34M),(33.75M),26.2M,211.39M,6.82M,-,74.88,177.64,706.79,-96.77,-1.21,-0.3,0.23,1.84,0.06,-,75.21,176.67,700,-96.74
KEYW,KEYW Holding Corp.,9.74,214.49,481.15M,288.03,1.86,243.52M,298.73M,290.53M,297.94M,288.03M,-,22.67,-2.75,2.55,-3.33,1.02M,(10.63M),(12.86M),(29.91M),1.87M,-,-1147.68,-20.97,-132.51,106.24,0.04,-0.29,-0.34,-1.51,-0.5,-,-825,-17.24,-345.26,67.03
ACXM,Acxiom Corporation,27.94,212.15,2.20B,850.09,-8.65,1.13B,1.1B,1.1B,804.91M,850.09M,-,-2.77,-0.17,-26.66,5.61,43.36M,57.61M,8.86M,(26.54M),(8.65M),-,32.85,-84.61,-399.47,67.42,0.97,0.77,0.12,-0.12,-0.03,-,-20.62,-84.42,-198.83,71.25
ATML,Atmel Corporation,8.14,-,-,3.43B,126.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEGA,Pegasystems Inc.,41.85,124.46,3.20B,750.27,26.99,461.71M,508.95M,590M,682.7M,750.27M,-,10.23,15.92,15.71,9.9,21.87M,38.04M,33.26M,36.32M,26.99M,-,73.97,-12.59,9.22,-25.7,0.29,0.5,0.44,0.47,0.35,-,72.41,-12,6.82,-25.53
TTGT,TechTarget Inc,8.82,119.61,241.87M,106.62,2.42,99.99M,88.5M,106.2M,111.83M,106.63M,-,-11.5,20.01,5.29,-4.65,4.02M,(1.84M),4.08M,7.19M,2.42M,-,-145.65,322.16,76.08,-66.34,0.1,-0.05,0.12,0.22,0.08,-,-150,340,83.33,-63.64
CUDA,Barracuda Networks Inc,23.04,119.43,1.21B,320.16,-4.42,160.92M,198.93M,233.79M,277.45M,320.16M,-,23.62,17.52,18.67,15.39,605000,(7.39M),(3.63M),(67.5M),(4.42M),-,-1321.65,50.94,-1761.5,93.45,0.01,-0.16,-0.1,-1.3,-0.08,-,-1653.4,37.5,-1200,93.85
PCYG,Park City Group Inc.,11.95,117.36,226.83M,14.01,-0.06,10.1M,11.32M,11.93M,13.65M,14.01M,-,12.08,5.39,14.42,2.65,-858667,257487,(2.49M),(5.99M),666503,-,129.99,-1067.1,-140.62,111.12,-0.14,-0.05,-0.19,-0.38,(),-,64.29,-280,-100,99.13
SKUL,Skullcandy Inc,6.35,-,-,182.25M,114.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KFX,Kofax Ltd,11.01,-,-,1.01B,114.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERIC,Telefonaktiebolaget LM Ericsson,6.55,110.23,21.84B,25311.81,195.12,227.78B,227.38B,227.98B,246.92B,222.61B,-,-0.18,0.27,8.31,-9.85,5.78B,12.01B,11.57B,13.55B,1.72B,-,107.88,-3.64,17.12,-87.33,12.11,3.72,3.57,4.17,0.53,-,-69.28,-4.03,16.81,-87.29
MDSO,Medidata Solutions Inc,55.97,110.18,3.19B,463.38,28.98,218.35M,276.85M,335.07M,392.51M,463.38M,-,26.79,21.03,17.14,18.06,18.02M,16.66M,6.09M,13.17M,28.98M,-,-7.54,-63.44,116.14,120.12,0.37,0.33,0.12,0.25,0.52,-,-9.59,-63.64,108.33,108
SGMA,SigmaTron International,4.85,107.71,20.31M,253.9,2.08,156.64M,198.44M,222.49M,230.24M,253.9M,-,26.69,12.12,3.48,10.28,1.13M,492961,2.92M,903412,2.08M,-,-56.54,492.07,-69.05,130.53,0.29,0.13,0.74,0.22,0.5,-,-55.17,469.23,-70.27,127.27
RDCM,RADCOM Ltd.,21.2,102.89,239.93M,29.51,1.92,15.79M,20.48M,23.64M,18.67M,29.51M,-,29.75,15.4,-21,58.04,(5.99M),(1.42M),726000,-923000,1.92M,-,76.28,151.13,-227.13,307.48,-0.93,-0.19,0.09,-0.11,0.18,-,79.57,147.37,-222.22,263.64
WB,Weibo Corp (ADR),49.78,102.87,10.64B,655.8,108.03,51.04M,148.59M,332.87M,477.59M,654.12M,-,191.11,124.01,43.48,36.96,(102.48M),(38.16M),(65.07M),34.72M,107.75M,-,62.76,-70.53,153.36,210.31,-0.51,-0.19,-0.35,0.17,0.5,-,62.71,-83.28,148.74,193.53
EXAR,Exar Corporation,10.43,99.46,530.79M,149.38,-16.03,130.57M,122.03M,125.32M,162.05M,149.38M,-,-6.54,2.7,29.31,-7.82,(28.8M),2.88M,5.8M,(44.97M),(16.03M),-,110.01,101.28,-875.21,64.36,-0.64,0.06,0.12,-0.95,-0.33,-,109.38,100,-891.67,65.26
GIG,GigPeak Inc,3.07,96.81,207.66M,58.74,2.23,36.73M,28.93M,32.95M,40.39M,58.74M,-,-21.26,13.9,22.6,45.43,(7M),(1.95M),(5.82M),1.25M,2.23M,-,72.22,-199.13,121.46,78.78,-0.33,-0.09,-0.18,0.03,0.04,-,72.73,-100,116.67,33.33
KYAK,Kayak Software Corp,40.07,-,-,1.57B,92.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CPSI,Computer Programs &amp; Systems Inc.,26.7,91.83,358.09M,267.27,3.9,183.31M,200.86M,204.74M,182.17M,267.27M,-,9.58,1.93,-11.02,46.71,29.97M,32.74M,32.42M,17.97M,3.9M,-,9.24,-0.98,-44.57,-78.33,2.71,2.95,2.94,1.62,0.29,-,8.86,-0.34,-44.9,-82.1
LN,Line Corp (ADR),36.87,90.39,7.99B,1319.71,85.9,-,-,86.37B,120.67B,140.7B,-,-,-,39.72,16.6,-,-,1.32B,(7.58B),9.54B,-,-,-,-676.5,225.85,-,-,0.35,-36.11,38.95,-,-,-,-10556.18,207.88
KN,Knowles Corp,18.75,87.27,1.69B,859.3,19.1,1.12B,1.21B,1.14B,1.08B,859.3M,-,8.66,-6.05,-4.97,-20.77,79.1M,105.81M,(87M),(233.8M),19.1M,-,33.78,-182.22,-168.74,108.17,-,1.24,-1.02,-2.69,-0.19,-,-,-182.26,-163.73,93
BLKB,Blackbaud Inc.,76.14,86.93,3.62B,730.82,41.52,447.42M,503.82M,564.42M,637.94M,730.82M,-,12.61,12.03,13.03,14.56,6.58M,30.47M,28.29M,25.65M,41.52M,-,362.89,-7.16,-9.34,61.86,0.15,0.68,0.63,0.56,0.9,-,353.33,-7.35,-11.11,60.71
ATHN,athenahealth Inc,108.6,208.2,4.25B,1082.9,21,422.27M,585.3M,752.6M,924.73M,1.08B,-,38.61,28.58,22.87,17.1,18.73M,2.59M,(3.12M),14.03M,21M,-,-86.15,-220.24,549.73,49.71,0.52,0.07,-0.08,0.36,0.53,-,-86.54,-214.29,550,47.22
FTNT,Fortinet Inc,36.3,200.01,6.36B,1275.44,32.19,533.64M,615.3M,770.36M,1.01B,1.28B,-,15.3,25.2,31.01,26.37,66.84M,44.27M,25.34M,7.99M,32.19M,-,-33.76,-42.76,-68.48,302.99,0.42,0.27,0.15,0.05,0.19,-,-35.71,-44.44,-66.67,280
MRVL,Marvell Technology Group Ltd.,15.9,196.03,8.11B,2317.67,43.99,3.17B,3.4B,3.71B,2.73B,2.32B,-,7.44,8.89,-26.47,-14.97,306.59M,315.32M,435.35M,(811.4M),43.99M,-,2.85,38.06,-286.38,105.42,0.55,0.64,0.85,-1.59,0.04,-,16.36,32.81,-287.06,102.52
COVR,Cover-All Technologies Inc,0.95,-,-,25.65M,193.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IGTE,IGATE Corp,48,-,-,3.86B,192.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ULTI,The Ultimate Software Group Inc.,190.39,191.9,5.59B,781.29,30.25,332.27M,410.4M,505.94M,618.08M,781.29M,-,23.51,23.28,22.17,26.41,14.63M,25.53M,44.74M,22.7M,30.25M,-,74.48,75.23,-49.26,33.28,0.55,0.92,1.58,0.79,1.04,-,67.27,71.74,-50,31.65
MCHP,Microchip Technology Inc.,73.15,179.39,15.67B,2173.33,324.13,1.38B,1.58B,1.93B,2.15B,2.17B,-,14.35,22.1,11.18,1.22,336.71M,127.39M,395.28M,369.01M,324.13M,-,-62.17,210.29,-6.65,-12.16,1.76,0.65,1.99,1.84,1.59,-,-63.07,206.15,-7.54,-13.59
GTT,GTT Communications Inc,23.65,169.96,957.26M,521.69,5.26,107.88M,157.37M,207.34M,369.25M,521.69M,-,45.88,31.76,78.09,41.28,(1.56M),(20.79M),(22.98M),19.3M,5.26M,-,-1230.07,-10.53,184.01,-72.75,-0.08,-0.95,-0.85,0.55,0.14,-,-1087.5,10.53,164.71,-74.55
CRAY,Cray Inc.,21.05,167.6,859.57M,629.81,10.62,421.06M,525.75M,561.61M,718.53M,607.6M,-,24.86,6.82,27.94,-15.44,161.24M,32.22M,62.32M,27.54M,10.62M,-,-80.02,93.41,-55.82,-61.45,4.42,0.85,1.61,0.7,0.27,-,-80.77,89.41,-56.52,-61.43
RP,RealPage Inc,34.85,163.51,2.81B,568.13,16.65,322.17M,377.02M,404.55M,468.52M,568.13M,-,17.03,7.3,15.81,21.26,5.18M,20.69M,(10.27M),(9.22M),16.65M,-,299.23,-149.65,10.28,280.62,0.07,0.28,-0.13,-0.12,0.22,-,300,-146.43,7.69,283.33
GSIT,GSI Technology Inc.,8.58,157.98,182.64M,52.74,-2.17,82.54M,66.01M,58.58M,53.5M,52.74M,-,-20.02,-11.26,-8.67,-1.42,6.76M,3.85M,(6.19M),(4.98M),(2.17M),-,-43.07,-260.92,19.57,56.41,0.24,0.14,-0.23,-0.2,-0.1,-,-41.67,-264.29,13.04,50
SQI,SciQuest Inc.,17.75,-,-,493.74M,154.33,4.89B,5.18B,4.87B,5.27B,5.42B,-,5.95,-5.91,8.16,2.93,,-,31.12,0.73,29.18,11.23,3.04,3.9,4.01,5.08,5.6,-,28.22,3,26.47,10.33,,,,
VSAT,ViaSat Inc.,63.64,150.66,3.67B,1417.43,21.74,863.63M,1.12B,1.35B,1.35B,1.39B,-,29.65,20.7,-0.14,3.16,7.5M,(41.17M),(9.45M),40.36M,21.74M,-,-649.25,77.06,527.3,-46.14,0.18,-0.94,-0.21,0.86,0.45,-,-622.22,77.66,509.52,-47.67
COHU,Cohu Inc.,17.24,150.02,474.79M,282.08,3.26,221.16M,247.3M,333.32M,269.65M,282.08M,-,11.82,34.78,-19.1,4.61,(12.24M),(33.42M),5.84M,5.79M,3.26M,-,-172.96,117.46,-0.74,-43.72,-0.5,-1.34,0.34,0.15,0.12,-,-168,125.37,-56.85,-16.63
ALRM,AlarmCom Hldg Inc,31.05,146.59,1.43B,261.11,10.14,96.48M,130.22M,167.31M,208.89M,261.11M,-,34.98,28.48,24.85,25,8.93M,122000,563000,11.77M,10.14M,-,-98.63,361.48,1990.23,-13.82,-3.12,0,0.01,-0.3,0.22,-,100.09,366.67,-2480.95,173.33
MLNX,Mellanox Technologies Ltd.,51.3,140.59,2.56B,857.5,18.52,500.8M,390.44M,463.65M,658.14M,857.5M,-,-22.04,18.75,41.95,30.29,111.38M,(23.34M),(24.01M),92.89M,18.52M,-,-120.96,-2.86,486.91,-80.07,2.7,-0.54,-0.54,2,0.38,-,-120,0,470.37,-81
MSN,Emerson Radio Corp,1.26,138.87,33.53M,45.75,-0.97,163.25M,128.4M,77.83M,76.32M,45.75M,-,-21.35,-39.38,-1.94,-40.06,10.63M,6M,1.32M,1.89M,-968000,-,-43.59,-78.05,43.74,-151.14,0.39,0.22,0.05,0.07,-0.04,-,-43.59,-77.27,40,-157.14
MITK,Mitek Systems Inc.,6.5,136.15,216.28M,34.7,1.96,9.09M,14.8M,19.15M,25.37M,34.7M,-,62.8,29.37,32.46,36.79,(7.84M),(7.28M),(5.29M),2.53M,1.96M,-,7.2,27.27,147.74,-22.45,-0.31,-0.26,-0.17,0.08,0.06,-,16.13,34.62,147.06,-25
NTK,Nortek Inc,85.94,-,-,1.40B,134.22,-,-,-,-,78577,-,-,-,-,-,(1.23M),(1.53M),(4.11M),(6.43M),(9.32M),-,-24.63,-168.42,-56.23,-45.12,-0.03,-0.04,-0.21,-0.18,-0.28,-,-24.85,-391.8,14.76,-54.19
MBLY,Mobileye NV,60.78,133.55,13.47B,358.16,108.37,40.29M,81.25M,143.64M,240.87M,358.16M,-,101.68,76.79,67.69,48.69,-53000,(226.02M),(30.08M),68.45M,108.37M,-,-426347.17,86.69,327.53,58.32,(),-0.38,-0.15,0.31,0.49,-,-126566.67,60.53,306.67,58.06
RDA,Rda Microelectronics Inc (ADR),18.45,-,-,856.43M,31.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LLTC,Linear Technology Corporation,65,-,-,15.59B,31.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AAOI,Applied Optoelectronics Inc,55.02,31.83,1.01B,260.71,31.23,63.42M,78.42M,130.45M,189.9M,260.71M,-,23.66,66.34,45.58,37.29,-945000,(1.41M),4.28M,10.79M,31.23M,-,-48.78,404.62,152,189.39,-0.07,-0.14,0.3,0.69,1.82,-,-100,314.29,130,163.77
ALLE,Allegion PLC,75.05,31.76,7.17B,2238,229.1,2.05B,2.09B,2.12B,2.07B,2.24B,-,2.29,1.18,-2.37,8.22,222.3M,31.8M,186.3M,154.3M,229.1M,-,-85.7,485.85,-17.18,48.48,2.21,0.33,1.82,1.6,2.39,-,-85.07,451.52,-12.09,49.38
CYBE,CyberOptics Corporation,24.7,31.69,171.34M,41.13,-2.09,41.64M,33.31M,46.48M,41.13M,66.24M,-,-20.02,39.56,-11.52,61.05,(6.71M),(6.17M),(1.49M),(2.09M),11.56M,-,8.09,75.89,-40.48,653.47,-0.97,-0.91,-0.23,-0.31,1.69,-,6.19,74.73,-34.78,645.16
ROG,Rogers Corporation,83.48,31.49,1.51B,656.31,48.28,498.76M,537.48M,610.91M,641.44M,656.31M,-,7.76,13.66,5,2.32,69.13M,37.66M,52.88M,46.32M,48.28M,-,-45.53,40.43,-12.41,4.24,4.18,2.2,2.91,2.52,2.68,-,-47.37,32.27,-13.4,6.35
FLEX,Flex Ltd,16.63,31.04,8.92B,24418.88,444.08,29.39B,23.57B,26.11B,26.15B,24.42B,-,-19.8,10.77,0.15,-6.61,510.65M,302.5M,365.59M,600.8M,444.08M,-,-40.76,20.86,64.34,-26.09,0.68,0.42,0.6,1.04,0.8,-,-38.24,42.86,73.33,-23.08
MSFT,Microsoft Corporation,64.98,30.6,500.90B,85320,16798,73.75B,77.65B,86.73B,92.97B,84.7B,-,5.29,11.69,7.2,-8.9,16.98B,21.86B,22.07B,12.19B,16.8B,-,28.77,0.97,-44.76,37.77,2.02,2.61,2.66,1.49,2.12,-,29.21,1.92,-43.98,42.28
CLFD,Clearfield Inc,16.7,30.51,236.04M,75.29,8.01,37.47M,53.35M,58.05M,60.32M,75.29M,-,42.37,8.79,3.93,24.81,7.7M,4.73M,5.43M,4.68M,8.01M,-,-38.53,14.77,-13.82,71.15,0.62,0.38,0.42,0.35,0.6,-,-38.71,10.53,-16.67,71.43
MA,Mastercard Inc,111.98,30.37,120.87B,10776,4059,7.4B,8.34B,9.47B,9.67B,10.78B,-,12.78,13.56,2.05,11.47,2.76B,3.12B,3.62B,3.81B,4.06B,-,12.94,16.08,5.28,6.59,2.2,2.57,3.1,3.36,3.7,-,16.71,20.81,8.22,10.12
VRSK,Verisk Analytics Inc.,79.71,30.22,13.25B,1995.2,451.5,1.53B,1.6B,1.75B,2.07B,2B,-,4,9.46,18.39,-3.52,329.14M,342.31M,370.87M,507.58M,451.5M,-,4,8.34,36.86,-11.05,1.98,2.07,2.41,3.07,1.93,-,4.55,16.43,27.39,-37.02
TSS,Total System Services Inc.,51.81,30.13,9.51B,4170.08,318.08,1.87B,2.13B,2.45B,2.78B,4.17B,-,13.97,14.75,13.6,50.03,243.48M,243.16M,270.91M,359.47M,318.08M,-,-0.13,11.41,32.69,-11.51,1.3,1.3,1.47,1.97,1.74,-,0,13.09,34.01,-11.68
MGIC,Magic Software Enterprises Ltd.,8.05,30.09,353.19M,201.65,11.91,126.38M,144.96M,164.3M,176.03M,201.65M,-,14.7,13.35,7.14,14.55,16.18M,15.88M,15.4M,16.2M,11.91M,-,-1.87,-3,5.16,-26.49,0.44,0.43,0.36,0.37,0.27,-,-2.27,-16.28,2.78,-27.03
FLIR,FLIR Systems Inc.,36.06,29.94,4.95B,1662.17,166.63,1.41B,1.5B,1.53B,1.56B,1.66B,-,6.48,2.29,1.73,6.75,225.36M,177.02M,200.26M,241.69M,166.63M,-,-21.45,13.13,20.69,-31.06,1.47,1.24,1.42,1.73,1.22,-,-15.65,14.52,21.83,-29.48
SAP,SAP SE (ADR),97.89,29.86,120.74B,23816.15,3935.89,16.22B,16.82B,17.56B,20.79B,22.06B,-,3.65,4.43,18.41,6.1,2.82B,3.33B,3.28B,3.06B,3.65B,-,17.82,-1.38,-6.59,18.99,2.37,2.79,2.74,2.56,3.04,-,17.72,-1.79,-6.57,18.75
PRFT,Perficient Inc.,17.36,29.64,609.61M,486.98,20.46,327.1M,373.33M,456.69M,473.62M,486.98M,-,14.13,22.33,3.71,2.82,16.11M,21.43M,23.16M,23.01M,20.46M,-,33.06,8.08,-0.67,-11.07,0.54,0.71,0.73,0.69,0.6,-,31.48,2.82,-5.48,-13.04
GOOGL,Alphabet Inc,835.14,29.55,563.01B,90272,19478,49.96B,59.73B,65.83B,73.59B,89.73B,-,19.56,10.21,11.79,21.94,10.79B,12.21B,13.62B,15.83B,19.48B,-,13.22,11.51,16.2,23.08,16.42,18.29,19.82,23.12,28.32,-,11.38,8.36,16.64,22.51
MENT,Mentor Graphics Corp,37.2,29.46,4.11B,1282.47,154.87,1.09B,1.16B,1.24B,1.18B,1.28B,-,6.21,7.59,-5.08,8.59,138.74M,150.77M,147.26M,96.54M,154.87M,-,8.68,-2.33,-34.45,60.42,1.25,1.33,1.28,0.83,1.42,-,6.41,-3.76,-35.16,71.08
ADTN,ADTRAN Inc.,21.1,29.28,1.05B,636.78,35.23,620.61M,641.74M,630.01M,600.06M,636.78M,-,3.4,-1.83,-4.75,6.12,47.26M,45.79M,44.62M,18.65M,35.23M,-,-3.11,-2.56,-58.21,88.94,0.75,0.78,0.81,0.36,0.72,-,4,3.85,-55.56,100
BABA,Alibaba Group Holding Ltd,108.04,49.71,272.73B,14704.27,10388.93,3.14B,5.5B,8.58B,12.3B,15.9B,-,75.07,56.06,43.42,29.3,662.74M,1.36B,3.81B,3.92B,11.24B,-,104.96,180.35,2.83,186.94,0.29,0.59,1.73,1.67,4.57,-,104.97,196.14,-3.79,174.14
COHR,Coherent Inc.,197.96,49.62,4.95B,857.38,87.5,769.09M,810.13M,794.65M,802.25M,857.44M,-,5.34,-1.91,0.96,6.88,62.96M,66.36M,59.11M,76.41M,87.5M,-,5.39,-10.92,29.27,14.52,2.67,2.75,2.39,3.09,3.62,-,3,-13.09,29.29,17.15
EFII,Electronics For Imaging Inc.,46.83,49.09,2.19B,992.06,45.55,652.14M,727.69M,790.43M,882.51M,992.07M,-,11.59,8.62,11.65,12.41,83.27M,109.11M,33.71M,33.54M,45.55M,-,31.03,-69.1,-0.52,35.8,1.79,2.34,0.72,0.71,0.97,-,30.73,-69.23,-1.39,36.62
CTXS,Citrix Systems Inc.,83.14,48.89,13.00B,3418.26,536.11,2.59B,2.92B,3.14B,3.28B,3.42B,-,12.85,7.69,4.22,4.36,352.55M,339.52M,251.72M,319.36M,536.11M,-,-3.69,-25.86,26.87,67.87,1.89,1.82,1.48,2.01,3.46,-,-3.7,-18.68,35.81,72.14
ADBE,Adobe Systems Incorporated,127.7,48.87,63.63B,5854.43,1168.78,4.4B,4.06B,4.13B,4.74B,5.84B,-,-7.91,1.8,14.8,23.14,832.78M,289.99M,268.4M,629.55M,1.17B,-,-65.18,-7.45,134.56,85.65,1.68,0.58,0.54,1.26,2.35,-,-65.48,-6.9,133.33,86.51
NVMI,Nova Measuring Instruments Ltd.,16.81,48.75,472.85M,163.9,9.64,96.17M,111.51M,120.62M,148.51M,163.9M,-,15.95,8.17,23.13,10.36,11.83M,10.52M,18.65M,15.73M,9.64M,-,-11.1,77.38,-15.69,-38.67,0.44,0.39,0.68,0.58,0.35,-,-11.36,74.36,-14.71,-39.66
VDSI,VASCO Data Security International Inc.,12.9,48.58,516.67M,192.3,10.56,154.03M,155.05M,201.54M,241.44M,192.3M,-,0.66,29.98,19.8,-20.35,16.23M,10.97M,32.61M,42.19M,10.56M,-,-32.42,197.36,29.39,-74.97,0.43,0.28,0.83,1.07,0.26,-,-33.83,194.22,28.48,-75.18
UEIC,Universal Electronics Inc,66.9,48.58,976.55M,651.37,20.35,463.09M,529.35M,562.33M,602.83M,653.77M,-,14.31,6.23,7.2,8.45,16.55M,22.96M,32.53M,29.17M,20.35M,-,38.72,41.68,-10.33,-30.23,1.11,1.51,2.06,1.91,1.41,-,36.04,36.42,-7.28,-26.18
INFA,Informatica LLC,48.73,-,-,5.07B,48.33,253932,62428,17764,414106,500000,-,-75.42,-71.54,2231.15,20.74,(19.6M),(1.45M),(1.25M),(6.11M),-177614,-,92.62,13.75,-389.78,97.09,-,-,-,-0.05,0,-,-,-,-,100.8
PGI,Premiere Global Services Inc.,13.99,48.08,655.02M,567.07,17.44,11.48M,39.47M,50.33M,62.14M,74.49M,-,243.74,27.51,23.46,19.88,(20.43M),(3.96M),(36.14M),32.8M,(9.3M),-,80.62,-812.76,190.76,-128.35,-0.31,-0.05,-0.45,0.38,-0.07,-,83.04,-753.69,183.13,-119.61
PANL,Pangaea Logistics Solutions Ltd,3.43,47.89,123.34M,287.33,11.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RVBD,Riverbed Technology Inc.,20.99,47.53,3.31B,1089.21,71.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
